vix_threshold,sma_buffer_pct,rsi_gate,cooldown_days,vol_gate,final_balance,total_return_pct,max_drawdown_pct,total_trades,buy_and_hold_pct,win_rate_pct,avg_win,avg_loss,win_loss_ratio,sharpe_ratio,max_consec_losses,avg_hold_days
28,0.98,0,0,0,207728,107.728,26.2054,55,187.856,30.9091,13621.8,3259.01,4.17973,0.404889,7,58.1818
28,0.98,0,0,0.8,211152,111.152,23.4754,50,187.856,28,15980.5,3127.07,5.11037,0.41661,8,62.86
28,0.98,0,0,1,255499,155.499,22.2933,39,187.856,35.8974,17558.1,3612.6,4.86025,0.520116,4,78.0513
28,0.98,0,0,1.2,200177,100.177,26.2621,36,187.856,30.5556,16009.3,3037.02,5.27139,0.418616,6,77.5278
28,0.98,0,3,0,211519,111.519,26.2094,53,187.856,30.1887,14701.9,3343.58,4.39707,0.413624,7,60.3019
28,0.98,0,3,0.8,215055,115.055,23.4743,48,187.856,27.0833,17487.1,3207.91,5.45124,0.425573,8,65.3958
28,0.98,0,3,1,246114,146.114,22.9105,37,187.856,35.1351,18163.9,3750.68,4.84282,0.50269,4,82
28,0.98,0,3,1.2,188079,88.0794,28.3971,34,187.856,29.4118,16385.5,3157.33,5.18968,0.389292,5,81.1765
28,0.98,0,5,0,223176,123.176,26.0112,49,187.856,32.6531,14775.9,3431.45,4.30601,0.440894,7,64.8367
28,0.98,0,5,0.8,214775,114.775,23.3617,44,187.856,29.5455,16497.6,3215.94,5.12995,0.427629,7,70.6591
28,0.98,0,5,1,253040,153.04,23.6117,35,187.856,37.1429,18110.9,3745.54,4.83533,0.519769,4,86.0286
28,0.98,0,5,1.2,180524,80.5238,33.0641,35,187.856,28.5714,15440.3,2955.16,5.22486,0.369809,6,77.7429
28,0.98,0,10,0,204539,104.539,33.3382,44,187.856,29.5455,15299.2,3043.55,5.02675,0.409561,7,69.8636
28,0.98,0,10,0.8,195913,95.9126,28.2332,42,187.856,28.5714,15826.7,3133.61,5.05064,0.390795,7,72.2143
28,0.98,0,10,1,223546,123.546,25.1711,36,187.856,36.1111,15732.1,3520.48,4.46874,0.465763,5,81.7778
28,0.98,0,10,1.2,184147,84.1471,24.2069,32,187.856,31.25,15352.8,3153.68,4.86822,0.388441,5,82.3438
28,0.98,40,0,0,206835,106.835,26.2048,54,187.856,31.4815,13574.1,3349.31,4.05279,0.403349,7,59.1296
28,0.98,40,0,0.8,210257,110.257,23.477,49,187.856,28.5714,15924.6,3219.64,4.94607,0.415127,8,64
28,0.98,40,0,1,247655,147.655,22.4332,38,187.856,36.8421,16975.5,3750.09,4.52669,0.506058,4,79.7368
28,0.98,40,0,1.2,190049,90.049,28.9273,35,187.856,31.4286,14914.1,3083.61,4.83659,0.394184,6,78.7714
28,0.98,40,3,0,210558,110.558,26.206,52,187.856,30.7692,14647.8,3439.07,4.25923,0.411955,7,61.3462
28,0.98,40,3,0.8,213998,113.998,23.4776,47,187.856,27.6596,17414,3305.42,5.26832,0.423776,8,66.6596
28,0.98,40,3,1,245517,145.517,23.0952,36,187.856,36.1111,18127.1,3918.93,4.62553,0.502347,4,84
28,0.98,40,3,1.2,194506,94.506,27.9145,32,187.856,31.25,16688.5,3289.97,5.07255,0.408025,5,85.9688
28,0.98,40,5,0,224738,124.738,26.0135,48,187.856,33.3333,14874.6,3539.24,4.20277,0.444203,7,66.1667
28,0.98,40,5,0.8,216192,116.192,22.8437,43,187.856,30.2326,16600.7,3320.57,4.99937,0.430853,7,72.2791
28,0.98,40,5,1,254768,154.768,23.0952,34,187.856,38.2353,18228.5,3914.38,4.65679,0.523178,4,88.5294
28,0.98,40,5,1.2,186846,86.8456,32.6149,33,187.856,30.303,15730.4,3063.42,5.13492,0.389097,6,82.2121
28,0.98,40,10,0,205860,105.86,32.8941,43,187.856,30.2326,15391.8,3141.12,4.9001,0.412785,7,71.4651
28,0.98,40,10,0.8,197199,97.1992,27.7523,41,187.856,29.2683,15924.3,3237.68,4.91844,0.394085,7,73.9512
28,0.98,40,10,1,225054,125.054,24.6655,35,187.856,37.1429,15831.9,3670.93,4.31277,0.469229,5,84.0857
28,0.98,40,10,1.2,195490,95.4896,23.6941,30,187.856,33.3333,16125.7,3288.35,4.90388,0.420792,5,88.0667
28,0.98,45,0,0,220472,120.472,25.2978,51,187.856,33.3333,14009.7,3461.58,4.04721,0.436105,6,62.3725
28,0.98,45,0,0.8,216033,116.033,26.2375,46,187.856,28.2609,17070.3,3208.52,5.32031,0.432117,6,67.7609
28,0.98,45,0,1,222315,122.315,23.3645,39,187.856,30.7692,18068.2,3500.1,5.16219,0.461718,6,75.4615
28,0.98,45,0,1.2,186666,86.6662,32.3589,35,187.856,31.4286,14534.7,3050.63,4.76448,0.393541,5,75.8286
28,0.98,45,3,0,223624,123.624,24.2152,49,187.856,32.6531,15069.1,3560.07,4.23282,0.443049,6,64.8776
28,0.98,45,3,0.8,219203,119.203,25.1756,44,187.856,27.2727,18727.3,3297.65,5.679,0.439334,6,70.7955
28,0.98,45,3,1,225628,125.628,22.2615,37,187.856,29.7297,19959.2,3612.44,5.52513,0.469632,6,79.4054
28,0.98,45,3,1.2,195939,95.9395,29.008,32,187.856,31.25,16693.8,3227.23,5.17282,0.420832,5,82.75
28,0.98,45,5,0,240234,140.234,23.202,45,187.856,35.5556,15394.3,3657.75,4.20869,0.478801,6,70.3778
28,0.98,45,5,0.8,223211,123.211,24.3983,41,187.856,29.2683,18082.5,3233.76,5.5918,0.450076,6,75.4878
28,0.98,45,5,1,229809,129.809,22.2615,36,187.856,30.5556,19860.2,3546.1,5.60056,0.48118,6,81.1667
28,0.98,45,5,1.2,201312,101.312,29.008,31,187.856,32.2581,16693.8,3125.07,5.3419,0.436054,5,85.3548
28,0.98,45,10,0,219463,119.463,32.8941,42,187.856,33.3333,14859.8,3163.35,4.69747,0.44559,7,73.1905
28,0.98,45,10,0.8,200489,100.489,30.3644,40,187.856,27.5,17212.9,3063.88,5.61799,0.405307,7,75.55
28,0.98,45,10,1,193128,93.1279,25.8128,38,187.856,28.9474,16661.6,3338.88,4.99018,0.399944,7,74.7632
28,0.98,45,10,1.2,194840,94.8398,24.4997,30,187.856,33.3333,16023.9,3269.98,4.90032,0.424102,5,86.3333
28,0.98,50,0,0,202701,102.701,26.3161,49,187.856,28.5714,15755.5,3367.86,4.67818,0.401769,7,63.6735
28,0.98,50,0,0.8,193993,93.9925,28.0463,46,187.856,26.087,16599.9,3094.3,5.36467,0.38655,6,66.3261
28,0.98,50,0,1,184702,84.7024,27.5953,40,187.856,27.5,16093.3,3183.58,5.05509,0.376713,5,70.65
28,0.98,50,0,1.2,180152,80.1515,25.7058,33,187.856,30.303,15310.3,3171.79,4.82701,0.380832,5,78.1212
28,0.98,50,3,0,206051,106.051,25.1248,48,187.856,29.1667,15993.8,3466.52,4.61378,0.409863,7,64.9792
28,0.98,50,3,0.8,197104,97.1038,26.8832,45,187.856,26.6667,16841.3,3181.58,5.29338,0.394658,6,67.7778
28,0.98,50,3,1,187694,87.694,26.4277,39,187.856,28.2051,16334.6,3285.24,4.97212,0.385368,5,72.4359
28,0.98,50,3,1.2,183107,83.1072,24.5043,32,187.856,31.25,15541.1,3286.54,4.72872,0.390147,5,80.5312
28,0.98,50,5,0,215405,115.405,25.4371,46,187.856,30.4348,15949.1,3371.3,4.73084,0.432211,7,67.6304
28,0.98,50,5,0.8,199613,99.6133,28.1988,43,187.856,27.907,16299,3095.96,5.2646,0.401974,6,70.6279
28,0.98,50,5,1,191342,91.3421,26.4277,38,187.856,28.9474,16270.8,3245.79,5.01288,0.39733,5,74.0526
28,0.98,50,5,1.2,183107,83.1072,24.5043,32,187.856,31.25,15541.1,3286.54,4.72872,0.390147,5,80.5312
28,0.98,50,10,0,207871,107.871,32.7797,43,187.856,30.2326,15264.7,3018.97,5.05625,0.422275,7,70.3256
28,0.98,50,10,0.8,191815,91.8151,28.5918,40,187.856,27.5,16380.2,3047.15,5.37558,0.387289,6,74.2
28,0.98,50,10,1,187179,87.1789,26.5916,36,187.856,30.5556,15306.9,3247.9,4.71287,0.389745,5,76.8333
28,0.98,50,10,1.2,176383,76.3825,26.8237,30,187.856,30,15845.9,3153.85,5.02431,0.377147,7,82.3667
28,0.97,0,0,0,226493,126.493,22.796,51,187.856,29.4118,16726.4,3455.64,4.84031,0.444795,8,63.1176
28,0.97,0,0,0.8,224659,124.659,22.7468,47,187.856,27.6596,18364.4,3355.22,5.47337,0.444799,7,67.4043
28,0.97,0,0,1,264278,164.278,19.8785,37,187.856,35.1351,19783.7,3871.24,5.11043,0.534716,4,82.7838
28,0.97,0,0,1.2,206911,106.911,24.4616,34,187.856,29.4118,18537.9,3269.47,5.66999,0.433901,6,82.6176
28,0.97,0,3,0,230717,130.717,21.8989,49,187.856,28.5714,18215.5,3551.43,5.12906,0.453673,8,65.6122
28,0.97,0,3,0.8,228838,128.838,22.745,45,187.856,26.6667,20220,3448.54,5.86335,0.453772,7,70.3111
28,0.97,0,3,1,254596,154.596,20.5149,35,187.856,34.2857,20597.3,4024.84,5.11754,0.517471,4,87.2286
28,0.97,0,3,1.2,188517,88.5168,28.8604,33,187.856,27.2727,18646,3304.05,5.64337,0.389027,5,84.0606
28,0.97,0,5,0,238775,138.775,22.6418,46,187.856,30.4348,17888.1,3489.3,5.12655,0.472417,6,69.3696
28,0.97,0,5,0.8,224279,124.279,23.3617,42,187.856,28.5714,18661.2,3321.87,5.61769,0.447387,6,74.5
28,0.97,0,5,1,253864,153.864,23.6117,34,187.856,35.2941,19966.3,3896.92,5.12362,0.519789,4,89
28,0.97,0,5,1.2,182219,82.2192,33.0098,34,187.856,26.4706,17669.8,3072.35,5.75123,0.373672,6,80.4412
28,0.97,0,10,0,203486,103.486,33.1293,43,187.856,27.907,16879.2,3195.64,5.28196,0.405402,7,72.093
28,0.97,0,10,0.8,197146,97.1456,28.1073,41,187.856,26.8293,17653.3,3234.71,5.45748,0.392525,7,74.5854
28,0.97,0,10,1,224322,124.322,25.1711,35,187.856,34.2857,17382.6,3663.88,4.74432,0.466019,5,84.5429
28,0.97,0,10,1.2,185766,85.7663,24.2069,31,187.856,29.0323,17613.6,3307.08,5.32601,0.391884,5,85.4516
28,0.97,40,0,0,218506,118.506,25.5042,51,187.856,29.4118,16196.8,3456.82,4.68545,0.428759,8,62.9216
28,0.97,40,0,0.8,216775,116.775,22.9196,47,187.856,27.6596,17784.1,3365.26,5.28462,0.428651,7,67.1915
28,0.97,40,0,1,248458,148.458,22.4332,37,187.856,35.1351,18605.5,3892.21,4.78019,0.50614,4,82.2973
28,0.97,40,0,1.2,190424,90.4236,29.3882,34,187.856,29.4118,16791.3,3228.71,5.20061,0.39376,6,81.5
28,0.97,40,3,0,222463,122.463,24.1718,49,187.856,28.5714,17627.9,3552.24,4.96248,0.437393,8,65.4286
28,0.97,40,3,0.8,220648,120.648,22.7455,45,187.856,26.6667,19566.6,3459.13,5.65652,0.437298,7,70.1111
