vix_threshold,sma_buffer_pct,rsi_gate,final_balance,total_return_pct,max_drawdown_pct,total_trades,buy_and_hold_pct
28,0.98,0,422102,322.102,12.1526,15,1025.62
28,0.98,40,441641,341.641,12.1547,13,1025.62
28,0.98,45,355834,255.834,19.7458,13,1025.62
28,0.98,50,305876,205.876,18.6481,11,1025.62
28,0.97,0,411870,311.87,12.1543,16,1025.62
28,0.97,40,430858,330.858,12.1519,14,1025.62
28,0.97,45,347250,247.25,19.7494,14,1025.62
28,0.97,50,298457,198.457,18.6507,12,1025.62
28,0.96,0,363525,263.525,18.6031,21,1025.62
28,0.96,40,380266,280.266,18.6031,19,1025.62
28,0.96,45,306563,206.563,19.7522,19,1025.62
28,0.96,50,267487,167.487,22.0021,15,1025.62
30,0.98,0,434304,334.304,12.4236,10,1025.62
30,0.98,40,447584,347.584,12.4244,9,1025.62
30,0.98,45,435206,335.206,12.4239,9,1025.62
30,0.98,50,433017,333.017,12.4287,8,1025.62
30,0.97,0,416151,316.151,12.4256,11,1025.62
30,0.97,40,428910,328.91,12.4269,10,1025.62
30,0.97,45,417042,317.042,12.4273,10,1025.62
30,0.97,50,414878,314.878,12.4227,9,1025.62
30,0.96,0,367258,267.258,18.6075,16,1025.62
30,0.96,40,378506,278.506,18.6075,15,1025.62
30,0.96,45,368034,268.034,18.6075,15,1025.62
30,0.96,50,371875,271.875,17.3725,12,1025.62
32,0.98,0,450420,350.42,12.1555,7,1025.62
32,0.98,40,464086,364.086,12.1507,6,1025.62
32,0.98,45,451385,351.385,12.1543,6,1025.62
32,0.98,50,448262,348.262,12.1534,6,1025.62
32,0.97,0,431701,331.701,12.1537,8,1025.62
32,0.97,40,444886,344.886,12.1555,7,1025.62
32,0.97,45,432584,332.584,12.1544,7,1025.62
32,0.97,50,429604,329.604,12.1512,7,1025.62
32,0.96,0,381065,281.065,18.6065,13,1025.62
32,0.96,40,392753,292.753,18.6065,12,1025.62
32,0.96,45,381800,281.8,18.6065,12,1025.62
32,0.96,50,384933,284.933,17.3685,10,1025.62
35,0.98,0,457553,357.553,12.1493,6,1025.62
35,0.98,40,464086,364.086,12.1507,6,1025.62
35,0.98,45,451385,351.385,12.1543,6,1025.62
35,0.98,50,448262,348.262,12.1534,6,1025.62
35,0.97,0,438585,338.585,12.151,7,1025.62
35,0.97,40,444886,344.886,12.1555,7,1025.62
35,0.97,45,432584,332.584,12.1544,7,1025.62
35,0.97,50,429604,329.604,12.1512,7,1025.62
35,0.96,0,387215,287.215,18.6065,12,1025.62
35,0.96,40,392753,292.753,18.6065,12,1025.62
35,0.96,45,381800,281.8,18.6065,12,1025.62
35,0.96,50,384933,284.933,17.3685,10,1025.62
