Date,High,Low,Close,Volume,VIX_Close
1993-01-29,24.192562,24.072201,24.175367,1003200,12.42
1993-02-01,24.347326,24.192576,24.347326,480500,12.33
1993-02-02,24.416111,24.278555,24.398916,201300,12.25
1993-02-03,24.674022,24.416106,24.656828,529400,12.12
1993-02-04,24.811572,24.467683,24.759989,531500,12.29
1993-02-05,24.794389,24.60525,24.742805,492100,12.9
1993-02-08,24.828778,24.708417,24.742805,596100,13.22
1993-02-09,24.656824,24.519269,24.570852,122100,13.48
1993-02-10,24.62244,24.502079,24.605246,379600,13.43
1993-02-11,24.828772,24.639633,24.725605,19500,12.69
1993-02-12,24.69123,24.53648,24.53648,42500,12.38
1993-02-16,24.467683,23.883073,23.917461,374800,15.76
1993-02-17,23.95186,23.814304,23.900276,210900,15.9
1993-02-18,24.175389,23.556389,23.883083,378100,15.56
1993-02-19,23.969048,23.848686,23.969048,34900,15.02
1993-02-22,24.089404,23.969043,24.055016,513600,14.7
1993-02-23,24.140995,23.917467,24.037828,373700,15.04
1993-02-24,24.347326,24.055021,24.347326,26300,14.72
1993-02-25,24.416111,24.278555,24.398916,44500,13.76
1993-02-26,24.450504,24.312948,24.43331,66200,13.16
1993-03-01,24.519275,24.330136,24.364525,66500,13.6
1993-03-02,24.725605,24.347327,24.725605,182400,12.49
1993-03-03,24.845966,24.725605,24.828772,280100,13.13
1993-03-04,24.86316,24.691216,24.691216,89500,13.44
1993-03-05,24.828781,24.605254,24.622448,40000,14.08
1993-03-08,25.172655,24.674016,25.172655,50800,16.22
1993-03-09,25.138257,25.03509,25.086674,169300,14.17
1993-03-10,25.138271,24.983521,25.138271,194400,13.91
1993-03-11,25.224242,25.035103,25.069492,70900,14.26
1993-03-12,24.880343,24.656816,24.811565,643600,15.66
1993-03-15,24.931944,24.794388,24.931944,310800,14.74
1993-03-16,25.000722,24.931944,24.931944,30800,14.51
1993-03-17,24.897556,24.742806,24.777195,21800,14.53
1993-03-18,25.035111,24.880361,24.931944,59300,14.17
1993-03-19,25.032418,24.894213,24.894213,66900,13.23
1993-03-22,24.807824,24.635067,24.755997,183400,13.66
1993-03-23,24.842367,24.773264,24.807816,55200,13.02
1993-03-24,24.911469,24.652335,24.807816,37200,12.44
1993-03-25,25.015137,24.790554,24.96331,110100,12.08
1993-03-26,24.963315,24.807834,24.825109,101500,12.21
1993-03-29,25.049684,24.842377,24.928755,87100,12.63
1993-03-30,24.997866,24.928763,24.997866,56000,12.23
1993-03-31,25.13606,24.980579,24.980579,111600,12.53
1993-04-01,25.015142,24.842386,24.894213,129500,13.02
1993-04-02,24.6869,24.375938,24.375938,59400,14.5
1993-04-05,24.565967,24.427762,24.496864,172200,14.12
1993-04-06,24.548687,24.358655,24.427757,129700,14.24
1993-04-07,24.514153,24.410499,24.514153,28000,13.64
1993-04-08,24.617797,24.375937,24.479591,180800,12.83
1993-04-12,24.842385,24.686904,24.825109,348500,11.93
1993-04-13,24.963299,24.790543,24.876921,146100,11.7
1993-04-14,24.911487,24.825109,24.842384,119600,11.76
1993-04-15,24.894211,24.73873,24.842384,148600,10.96
1993-04-16,24.894211,24.807833,24.842384,47900,11.29
1993-04-19,24.91149,24.721458,24.738733,157000,12.06
1993-04-20,24.738725,24.462315,24.617796,279500,11.94
1993-04-21,24.669628,24.531422,24.600525,67900,12.11
1993-04-22,24.704174,24.289558,24.289558,97700,12.68
1993-04-23,24.306837,24.151356,24.185907,106000,13.36
1993-04-26,24.289555,23.926766,23.995869,62600,15.25
1993-04-27,24.255005,23.961319,24.255005,156800,13.93
1993-04-28,24.272287,24.168633,24.203184,85900,13.12
1993-04-29,24.306837,24.116805,24.306837,85000,12.8
1993-04-30,24.479598,24.341393,24.341393,88500,12.42
1993-05-03,24.496864,24.272281,24.496864,80500,12.9
1993-05-04,24.669623,24.514142,24.583244,149100,12.14
1993-05-05,24.738726,24.583245,24.652348,109000,12.38
1993-05-06,24.635072,24.548694,24.565969,54700,13.22
1993-05-07,24.583255,24.479601,24.514153,68000,13.01
1993-05-10,24.704175,24.548694,24.565969,113900,13.72
1993-05-11,24.669622,24.496866,24.669622,42600,13.35
1993-05-12,24.652356,24.565978,24.63508,31000,13.56
1993-05-13,24.531425,24.324117,24.341393,129100,14.76
1993-05-14,24.410488,24.306834,24.32411,63500,14.39
1993-05-17,24.410496,24.289566,24.410496,34000,14.13
